Kommunenavn,Kommunekode,Tillægsnavn,PlanID,Digital?
Faaborg-Midtfyn,0430,"Tillæg nr. 40 til Kommuneplan 2019, Erhvervsområde ved Havnegade og Vestkaj, Faaborg",11912933,Nej
Faaborg-Midtfyn,0430,"Tillæg nr. 41 til Kommuneplan, Rudme Herringe Landsbyer",11346998,Nej
Faaborg-Midtfyn,0430,"Tillæg nr. 43 Aflastningscenter, Bygmestervej, Ringe",11908135,Nej
Faaborg-Midtfyn,0430,Tillæg nr. 46 til Kommuneplan 2019,12159976,Nej
Faaborg-Midtfyn,0430,Tillæg nr. 49 til Kommuneplan 2019 - Aflysning af kommuneplanrammen Kli.S.6 Sommerhusområde Klintholm,12185482,Nej
Faaborg-Midtfyn,0430,Tillæg nr. 5 til Kommuneplan 2019 - Ny afgrænsning af erhvervsområde Nrb.E.3,10243333,Nej
Faaborg-Midtfyn,0430,"Tillæg nr. 6 - Rin.R.8, Grønt område ved Dybdalgård, Ringe",10238843,Nej
Faaborg-Midtfyn,0430,Tillæg nr. 7 til Kommuneplan 2019,10272640,Nej
Faaborg-Midtfyn,0430,Tillæg nr. 8 til Kommuneplan 2019,10272713,Nej
Faaborg-Midtfyn,0430,Tillæg nr. 9,10272728,Nej
Fanø,0563,Forslag til kommuneplantillæg 6.,11426821,Nej
Fanø,0563,KOMMUNEPLANTILLÆG NR.4,11253227,Nej
Fanø,0563,Kommuneplantillæg 1,10985388,Nej
Fanø,0563,Kommuneplantillæg 3,11206345,Nej
Fanø,0563,Kommuneplantillæg 7,11453861,Nej
Fanø,0563,Kommuneplantillæg 7,11453859,Nej
Fanø,0563,Kommuneplantillæg for Gl. Postvej 4,12191014,Nej
Fanø,0563,Tillæg nr. 2  til kommuneplan 2021 - Klimatilpasningsplan,11171073,Nej
Favrskov,0710,Forslag til tillæg nr. 3 - Erhvervsområdet nord for Kappa,12137738,Nej
Favrskov,0710,"Forslag til tillæg nr. 4 - Solcelleanlæg mellem Hadsten, Hadbjerg og Nørre Galten",12186974,Nej
Favrskov,0710,Forslag til tillæg nr. 5 - Boligområde syd for Engdalsvej,12139047,Nej
Favrskov,0710,Forslag til tillæg nr. 6 - Naturplan 2025,12160002,Nej
Favrskov,0710,Tillæg nr. 1 - Genbrugsplads ved Lynghøjvej,11939223,Nej
Favrskov,0710,Tillæg nr. 2 - Serviceområde ved E45 nær Hadsten,11912939,Nej
Faxe,0320,Kommuneplantillæg nr. 6 (KP2025) Udviklingsområder i kystnærhedszonen,12189907,Nej
Faxe,0320,Tillæg nr. 2 Rekreativt landskab ved Faxe Alle i Faxe,12138929,Nej
Faxe,0320,"Tillæg nr. 5 Rammeområde R-E3, R-E4 og R-R4 Erhverv- og rekreative formål i Rønnede",12190077,Nej
Fredensborg,0210,Forslag til tillæg nr. 2 til Kommuneplan 2025,12161294,Nej
Frederiksberg,0147,2,12188705,Nej
Frederiksberg,0147,3,12182579,Nej
Frederiksberg,0147,5,12185843,Nej
Frederiksberg,0147,Forslag til Kommuneplantillæg 1 for hotel på Vodroffsvej 59,12129203,Nej
Frederikshavn,0813,"15.53 - Boligområde, Rolykke 12, Sæby",9538536,Nej
Frederikshavn,0813,15.58 - Udvidelse af Sæby Havn,9579249,Nej
Frederikshavn,0813,15.67 - Udvidelse af Frederikshavn Havn ved Østre Kaj,9675101,Nej
Frederikshavn,0813,15.70 - Boligområde Flade Bakker i Frederikshavn,9675710,Nej
Frederikshavn,0813,15.74 Blandet bolig- og erhvervsområde ved Mejerivej og Tømmergade,9683744,Nej
Frederikshavn,0813,15.79 - Centerområde ved Frederikshavnsvej og Rolighedsvej,9731607,Nej
Frederikshavn,0813,GEO-2020-06386 Tillæg nr. 15.109 - Udvidelse af Strandby Havn,11240557,Nej
Frederikshavn,0813,GEO-2022-02922 - Tillæg 15.55 - Frederikshavn Nordstrand,11304381,Nej
Frederikshavn,0813,GEO-2023-04198 - Tillæg nr. 15.114 - Erhvervsområde ved Vendsysselvej,11299853,Nej
Frederikshavn,0813,GEO-2023-07805  - Tillæg nr. 15.129 - Boliger i centerbygningen ved Sæby Søbad,12187330,Nej
Frederikshavn,0813,Tillæg  nr. 15.41 - Industrikajen/Fabrikskajen,11024040,Nej
Frederikshavn,0813,Tillæg nr. 15.02 - Erhvervspark Sæby Syd,3018258,Nej
Frederikshavn,0813,Tillæg nr. 15.05 - Boligområde nord for Nørgårdsvej i Strandby,3014717,Nej
Frederikshavn,0813,Tillæg nr. 15.07 - Boligområde vest for Mjølnersvej i Skagen,3015226,Nej
Frederikshavn,0813,Tillæg nr. 15.08 - Fodboldgolfbane,3015222,Nej
Frederikshavn,0813,Tillæg nr. 15.10 - Erhvervsområde ved Industrivej i Vangen,3154131,Nej
Frederikshavn,0813,Tillæg nr. 15.101 - Niels Skiverens Vej 1 (Niels Skiverens Gaard),11228958,Nej
Frederikshavn,0813,Tillæg nr. 15.102 - Sommerhusområde ved Flagbakkevej 26 (Højengran),11239937,Nej
Frederikshavn,0813,Tillæg nr. 15.104  - Solcelleanlæg Ribberholt,11425133,Nej
Frederikshavn,0813,Tillæg nr. 15.105 - Solcelleanlæg Starbakke,11282404,Nej
Frederikshavn,0813,"Tillæg nr. 15.106 - Boligområde ved Vestre Strandvej , Skagen",11416665,Nej
Frederikshavn,0813,Tillæg nr. 15.107- Havbad Strandby,12158457,Nej
Frederikshavn,0813,Tillæg nr. 15.11 - Udvidelse af Frederikshavn Havn - Etape 1,3024830,Nej
Frederikshavn,0813,Tillæg nr. 15.110 Støjvold ved genbrugsplads Ravnshøj ,11255862,Nej
Frederikshavn,0813,Tillæg nr. 15.111 Kraftvarmeværk,11281506,Nej
Frederikshavn,0813,"Tillæg nr. 15.113 - Transformerstation Ålborgrvej 311, Dybvad",11281806,Nej
Frederikshavn,0813,Tillæg nr. 15.115 - Nordjyllands Idrætsefterskole,11906983,Nej
Frederikshavn,0813,"Tillæg nr. 15.118 - Østervrå Idræts-, Sogne- og Kulturcenter",11496232,Nej
Frederikshavn,0813,Tillæg nr. 15.123 - Ændring af planbestemmelser på en del af Frederikshavn Havn,11922442,Nej
Frederikshavn,0813,"Tillæg nr. 15.125 -  Restaurant mv. Hestvangvej 14, Understed",11938688,Nej
Frederikshavn,0813,Tillæg nr. 15.13 - Bolig- og erhvervsområde ved Saltebakken,3128129,Nej
Frederikshavn,0813,"Tillæg nr. 15.16 -  Fugleformidlingscenter, Skagen Fyr",3111718,Nej
Frederikshavn,0813,Tillæg nr. 15.17 - Centerområde Østervrå,3127760,Nej
Frederikshavn,0813,Tillæg nr. 15.18 - Sommerhusområde ved Lerbækhuse,3136245,Nej
Frederikshavn,0813,Tillæg nr. 15.20 - Sommerhus- og hotelområde ved Kandestederne,3139340,Nej
Frederikshavn,0813,Tillæg nr. 15.21 - Boliger ved Caspersvej i Frederikshavn,3266581,Nej
Frederikshavn,0813,Tillæg nr. 15.23 - Dagligvarebutik Hjørringvej 37-39,3185703,Nej
Frederikshavn,0813,Tillæg nr. 15.24 - Vinkelgården,3242032,Nej
Frederikshavn,0813,Tillæg nr. 15.25 - Område omkring hovedgaden i Præstbro,3540209,Nej
Frederikshavn,0813,Tillæg nr. 15.27 - Udvidelse af Skagen Havn etape 3,9415836,Nej
Frederikshavn,0813,Tillæg nr. 15.29 - Rådhusparken i Frederikshavn,3185755,Nej
Frederikshavn,0813,Tillæg nr. 15.31 - Erhvervsområde ved Øksnebjergvej,3438210,Nej
Frederikshavn,0813,Tillæg nr. 15.32 - Boligområde ved Anholtvej,3762920,Nej
Frederikshavn,0813,"Tillæg nr. 15.33 - Lille Skagen Bolig-, ferie- og fritidsområde ved Nordsøvej",3268737,Nej
Frederikshavn,0813,Tillæg nr. 15.38 - Boligområde Toftegårdsvej,3635155,Nej
Frederikshavn,0813,Tillæg nr. 15.39 - Hotel- og konferencecenter Hvideklit,3709572,Nej
Frederikshavn,0813,Tillæg nr. 15.42 - Boliger på Gasværksvej,3964752,Nej
Frederikshavn,0813,"Tillæg nr. 15.43 - Boliger ved Grønnevænget, Sæby",9433300,Nej
Frederikshavn,0813,Tillæg nr. 15.44 - Område omkring Solsbækvej,9432402,Nej
Frederikshavn,0813,Tillæg nr. 15.45 - Nellemanns Have i Sæby,3964774,Nej
Frederikshavn,0813,"Tillæg nr. 15.46 - Boliger ved Brønderslevvej, Gærum",9419079,Nej
Frederikshavn,0813,Tillæg nr. 15.47 - Boliger ved Solsbæk Strand,9405050,Nej
Frederikshavn,0813,"Tillæg nr. 15.51 - Sommerhusområde ved Nellemannsvej, Lyngså",9514560,Nej
Frederikshavn,0813,Tillæg nr. 15.56 - Temaplan for udpegning af byudviklingsområder,11129952,Nej
Frederikshavn,0813,Tillæg nr. 15.63 - nye retningslinjer for detailhandel,9717345,Nej
Frederikshavn,0813,Tillæg nr. 15.65 - Solcelleanlæg nord for Ålbæk,9646271,Nej
Frederikshavn,0813,Tillæg nr. 15.69 - Rekreativt område,9654848,Nej
Frederikshavn,0813,Tillæg nr. 15.73 - Boligområde ved Ørnevej,9715987,Nej
Frederikshavn,0813,"Tillæg nr. 15.76 Boligområde ved Pernille Oxes Vej, Sæby",9695608,Nej
